TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Days,Years
43163,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,222 Madison St,1.0,Sidewalk: Curb side : Cutout,Private,2000-07-11 00:00:00,8,,37.72603642,-122.4226902,8611,23.59178082191781
94792,DPW Maintained,Maytenus boaria :: Mayten,2 Laurel St,4.0,Sidewalk: Curb side : Cutout,Private,2010-11-08 00:00:00,13,,37.79098842,-122.4508487,4839,13.257534246575343
29149,DPW Maintained,Lophostemon confertus :: Brisbane Box,301X Jones St,1.0,Sidewalk: Curb side : Cutout,DPW,2015-06-13 00:00:00,3,3x3,37.7839498,-122.4126863,3161,8.66027397260274
82688,DPW Maintained,Crataegus laevigata :: English Hawthorn,1875 38th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2008-06-30 00:00:00,2,3x3,37.75197824,-122.4968327,5700,15.616438356164384
30326,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,946 Capitol Ave,1.0,Sidewalk: Curb side : Cutout,Private,2017-10-13 11:13:00,3,,37.71906925,-122.4591242,2307,6.32054794520548
106947,DPW Maintained,Prunus cerasifera :: Cherry Plum,2710 Baker St,2.0,Sidewalk: Curb side : Cutout,Private,2014-07-02 00:00:00,1,3x3,37.79606292,-122.4453857,3507,9.608219178082193
46353,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2900 Washington St,2.0,Sidewalk: Curb side : Cutout,Private,2002-02-27 00:00:00,8,,37.79078673,-122.4412931,8015,21.958904109589042
41683,Permitted Site,Pyrus kawakamii :: Evergreen Pear,68 Mars St,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-19 00:00:00,10,,37.76097966,-122.4446096,8633,23.65205479452055
89070,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,610 18th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2008-03-03 00:00:00,2,3x3,37.77639009,-122.4768635,5819,15.942465753424658
89610,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',4201X Anza St,2.0,Sidewalk: Curb side : Cutout,DPW,2015-11-05 07:01:00,3,3x3,37.77769248,-122.4933791,3015,8.26027397260274
167503,Permitted Site,Leptospermum laevigatum :: Australian Tea Tree,3512 16th St,1.0,Sidewalk: Curb side : Cutout,Private,2018-08-16 00:00:00,3,3x3,37.76441456,-122.4314733,2001,5.482191780821918
84674,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,4045 24th St,1.0,Sidewalk: Curb side : Cutout,Private,2012-12-27 00:00:00,4,3x3,37.75130564,-122.4328702,4059,11.12054794520548
10331,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,838 Haight St,1.0,Sidewalk: Curb side : Cutout,Private,2007-04-12 00:00:00,8,5x5,37.77167675,-122.4361039,6145,16.835616438356166
57298,Permitted Site,Ficus nitida :: Laurel Fig,3120 16th St,1.0,Sidewalk: Curb side : Cutout,Private,1976-08-27 00:00:00,20,5x5,37.76495791,-122.4224007,17330,47.47945205479452
108783,DPW Maintained,Arbutus unedo :: Strawberry Tree,2055 Sunnydale Ave,5.0,Sidewalk: Curb side : Cutout,SFUSD,2015-01-06 00:00:00,3,3x3,37.71364778,-122.4224308,3319,9.093150684931507
88336,DPW Maintained,Pyrus calleryana :: Ornamental Pear,554 Naples St,2.0,Sidewalk: Curb side : Cutout,Private,2008-07-10 00:00:00,8,3x3,37.72000186,-122.4319386,5690,15.58904109589041
266554,Section 806 (d),Melaleuca quinquenervia :: Cajeput,2775 Market St,2.0,Sidewalk: Curb side : Cutout,Private,2021-10-13 00:00:00,3,3x3,37.76136095,-122.4392648,847,2.3205479452054796
43663,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,646 11th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2000-07-25 00:00:00,3,,37.77608334,-122.4692206,8597,23.553424657534247
6843,Permitted Site,Hymenosporum flavum :: Sweet Shade,1445 FAIRFAX AVE,1.0,Sidewalk: Curb side : Cutout,Private,2007-03-14 00:00:00,6,3X3,37.74047206,-122.3865874,6174,16.915068493150685
90708,DPW Maintained,Yucca elephantipes :: Giant Yucca,4400 Cabrillo St,1.0,Sidewalk: Curb side : Cutout,DPW,2008-04-07 00:00:00,3,3x3,37.77350962,-122.5057833,5784,15.846575342465753
26049,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,136 Broad St,1.0,Sidewalk: Curb side : Cutout,Private,2007-03-10 00:00:00,3,3X3,37.71326115,-122.4573902,6178,16.926027397260274
111742,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1751 Balboa St,3.0,Sidewalk: Curb side : Cutout,Private,2016-01-28 00:00:00,3,3x3,37.77653303,-122.4777297,2932,8.032876712328767
258210,Permitted Site,Cordyline australis :: Dracena Palm,1847 43rd Ave,,Sidewalk: Curb side : Cutout,Private,2019-04-17 00:00:00,3,3x3,37.75222364,-122.5021985,1757,4.813698630136987
86344,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2363 25th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2006-12-18 00:00:00,3,3x3,37.74347936,-122.4822505,6260,17.15068493150685
5922,Permitted Site,Lophostemon confertus :: Brisbane Box,1300X Eddy St,5.0,Sidewalk: Curb side : Cutout,Private,1992-05-07 00:00:00,12,4X4,37.78206203,-122.4296075,11598,31.775342465753425
